sale_id,customer_id,vehicle_id,dealer_id,sale_date,sale_price
S0001,C0001,V0001,D007,2024-04-09,2366557
S0002,C0002,V0002,D001,2023-07-10,1886484
S0003,C0003,V0003,D007,2024-05-15,889276
S0004,C0004,V0004,D009,2024-03-16,2757137
S0005,C0005,V0005,D010,2023-12-19,663691
S0006,C0006,V0006,D008,2023-10-02,2375846
S0007,C0007,V0007,D008,2023-05-27,1186219
S0008,C0008,V0008,D003,2024-10-25,1452236
S0009,C0009,V0009,D007,2024-05-30,1328820
S0010,C0010,V0010,D007,2024-12-25,842592
S0011,C0011,V0011,D008,2024-01-01,2346398
S0012,C0012,V0012,D009,2023-11-02,776273
S0013,C0013,V0013,D003,2023-12-14,2336242
S0014,C0014,V0014,D005,2024-10-29,761252
S0015,C0015,V0015,D002,2024-04-09,2745253
S0016,C0016,V0016,D007,2023-07-12,720818
S0017,C0017,V0017,D010,2024-08-21,2376045
S0018,C0018,V0018,D003,2024-09-18,866795
S0019,C0019,V0019,D005,2024-04-26,2329416
S0020,C0020,V0020,D008,2023-04-30,2779523
S0021,C0021,V0021,D005,2024-11-14,2365303
S0022,C0022,V0022,D002,2023-10-28,781998
S0023,C0023,V0023,D008,2023-07-28,2727136
S0024,C0024,V0024,D009,2024-12-20,656022
S0025,C0025,V0025,D002,2024-05-29,1374946
S0026,C0026,V0026,D010,2023-12-30,695377
S0027,C0027,V0027,D004,2023-10-24,732257
S0028,C0028,V0028,D005,2023-01-26,1339039
S0029,C0029,V0029,D003,2024-08-26,1376647
S0030,C0030,V0030,D009,2024-09-22,2756593
S0031,C0031,V0031,D002,2023-01-29,2356983
S0032,C0032,V0032,D006,2024-08-12,835113
S0033,C0033,V0033,D010,2023-05-03,1379144
S0034,C0034,V0034,D003,2024-11-26,1883937
S0035,C0035,V0035,D004,2023-05-31,1368880
S0036,C0036,V0036,D010,2024-12-04,816395
S0037,C0037,V0037,D009,2023-11-08,1394802
S0038,C0038,V0038,D010,2023-10-20,2735500
S0039,C0039,V0039,D009,2023-03-17,870202
S0040,C0040,V0040,D006,2024-09-08,833415
S0041,C0041,V0041,D010,2023-09-22,2360343
S0042,C0042,V0042,D002,2024-06-13,1427896
S0043,C0043,V0043,D001,2024-05-24,1825805
S0044,C0044,V0044,D001,2023-11-02,690836
S0045,C0045,V0045,D005,2023-02-05,769984
S0046,C0046,V0046,D007,2023-02-12,1464653
S0047,C0047,V0047,D001,2024-06-10,1387248
S0048,C0048,V0048,D008,2024-12-09,2358642
S0049,C0049,V0049,D005,2024-04-30,821225
S0050,C0050,V0050,D002,2023-05-22,832297
S0051,C0051,V0051,D003,2023-08-20,709852
S0052,C0052,V0052,D005,2023-09-24,2333645
S0053,C0053,V0053,D001,2024-03-24,1482920
S0054,C0054,V0054,D005,2023-04-17,740410
S0055,C0055,V0055,D007,2024-02-27,883427
S0056,C0056,V0056,D008,2024-04-04,706065
S0057,C0057,V0057,D003,2024-10-28,1126946
S0058,C0058,V0058,D010,2023-02-01,706514
S0059,C0059,V0059,D006,2023-10-31,1473289
S0060,C0060,V0060,D002,2024-05-10,1382924
S0061,C0061,V0061,D007,2023-07-11,2351705
S0062,C0062,V0062,D002,2024-05-04,1438964
S0063,C0063,V0063,D006,2024-02-05,2388419
S0064,C0064,V0064,D004,2024-12-21,1852276
S0065,C0065,V0065,D007,2024-01-21,1352702
S0066,C0066,V0066,D009,2024-07-30,1493520
S0067,C0067,V0067,D009,2024-10-03,1381844
S0068,C0068,V0068,D005,2023-09-07,1367975
S0069,C0069,V0069,D008,2024-11-06,1467926
S0070,C0070,V0070,D007,2024-07-01,739435
S0071,C0071,V0071,D010,2023-06-03,2356788
S0072,C0072,V0072,D007,2023-08-16,828001
S0073,C0073,V0073,D007,2024-09-28,1354990
S0074,C0074,V0074,D004,2023-05-13,1847620
S0075,C0075,V0075,D007,2024-07-27,828448
S0076,C0076,V0076,D008,2023-08-09,829190
S0077,C0077,V0077,D001,2024-04-15,1341581
S0078,C0078,V0078,D005,2024-07-17,894958
S0079,C0079,V0079,D002,2024-05-22,2336716
S0080,C0080,V0080,D007,2024-04-06,1390481
S0081,C0081,V0081,D007,2024-10-17,758419
S0082,C0082,V0082,D001,2024-10-12,2362104
S0083,C0083,V0083,D001,2023-04-09,696893
S0084,C0084,V0084,D002,2023-03-18,2354620
