service_id,vehicle_id,customer_id,service_date,service_type,service_cost
SR0001,V0001,C0001,2024-09-15,AC Service,6307
SR0002,V0002,C0002,2023-11-27,Oil Change,5538
SR0003,V0003,C0003,2024-12-16,AC Service,5100
SR0004,V0004,C0004,2025-02-02,Wheel Alignment,2130
SR0005,V0005,C0005,2024-05-07,General Service,6100
SR0006,V0006,C0006,2024-08-21,Brake Service,4672
SR0007,V0007,C0007,2023-07-11,Full Service,3299
SR0008,V0008,C0008,2025-06-20,Brake Service,9241
SR0009,V0009,C0009,2025-03-25,Oil Change,5367
SR0010,V0010,C0010,2025-12-21,Wheel Alignment,13058
SR0011,V0011,C0011,2024-03-24,Oil Change,9655
SR0012,V0012,C0012,2024-08-18,Oil Change,7872
SR0013,V0013,C0013,2024-12-08,General Service,13873
SR0014,V0014,C0014,2025-03-13,Oil Change,11196
SR0015,V0015,C0015,2025-02-28,General Service,13468
SR0016,V0016,C0016,2024-04-24,AC Service,6738
SR0017,V0017,C0017,2024-11-08,General Service,2311
SR0018,V0018,C0018,2025-09-06,General Service,8962
SR0019,V0019,C0019,2025-03-14,Brake Service,14045
SR0020,V0020,C0020,2024-01-31,Wheel Alignment,6258
SR0021,V0021,C0021,2024-12-17,Oil Change,13578
SR0022,V0022,C0022,2024-05-28,Wheel Alignment,14070
SR0023,V0023,C0023,2023-11-30,Brake Service,3080
SR0024,V0024,C0024,2025-12-17,General Service,7231
SR0025,V0025,C0025,2024-12-18,Full Service,14668
SR0026,V0026,C0026,2024-08-01,Oil Change,13485
SR0027,V0027,C0027,2024-01-15,Brake Service,2654
SR0028,V0028,C0028,2023-08-27,Brake Service,9363
SR0029,V0029,C0029,2024-11-01,Full Service,2543
SR0030,V0030,C0030,2025-08-22,AC Service,2758
SR0031,V0031,C0031,2023-08-17,AC Service,9644
SR0032,V0032,C0032,2025-01-30,Brake Service,2826
SR0033,V0033,C0033,2023-08-06,Brake Service,9093
SR0034,V0034,C0034,2025-05-11,Wheel Alignment,13270
SR0035,V0035,C0035,2023-11-13,AC Service,6590
SR0036,V0036,C0036,2025-04-26,Wheel Alignment,14325
SR0037,V0037,C0037,2024-04-04,Brake Service,7774
SR0038,V0038,C0038,2024-05-11,Full Service,10288
SR0039,V0039,C0039,2023-08-20,Oil Change,8179
SR0040,V0040,C0040,2024-11-21,Full Service,10718
SR0041,V0041,C0041,2023-11-22,General Service,14060
SR0042,V0042,C0042,2024-11-26,Brake Service,11559
SR0043,V0043,C0043,2025-01-16,General Service,9648
SR0044,V0044,C0044,2024-06-30,Brake Service,13152
SR0045,V0045,C0045,2023-04-28,General Service,2598
SR0046,V0046,C0046,2023-06-11,AC Service,3825
SR0047,V0047,C0047,2024-10-11,AC Service,5977
SR0048,V0048,C0048,2025-08-31,Full Service,2579
SR0049,V0049,C0049,2024-12-16,AC Service,5713
SR0050,V0050,C0050,2023-10-19,Wheel Alignment,7726
SR0051,V0051,C0051,2023-12-31,Full Service,5943
SR0052,V0052,C0052,2024-06-08,Full Service,10880
SR0053,V0053,C0053,2024-05-15,AC Service,1913
SR0054,V0054,C0054,2024-01-24,Full Service,13984
SR0055,V0055,C0055,2024-10-10,Brake Service,3524
SR0056,V0056,C0056,2025-02-15,Wheel Alignment,14099
SR0057,V0057,C0057,2025-08-02,AC Service,2153
SR0058,V0058,C0058,2023-09-14,General Service,14123
SR0059,V0059,C0059,2024-02-20,Full Service,6966
SR0060,V0060,C0060,2024-12-02,Wheel Alignment,3457
SR0061,V0061,C0061,2023-12-28,Full Service,11726
SR0062,V0062,C0062,2024-09-13,Brake Service,7272
SR0063,V0063,C0063,2024-11-30,General Service,8113
SR0064,V0064,C0064,2025-09-07,General Service,12722
SR0065,V0065,C0065,2024-10-05,Brake Service,5090
