part_id,service_id,part_name,part_cost
P0001,SR0001,Air Filter,712
P0002,SR0002,Engine Oil,1877
P0003,SR0003,Air Filter,4767
P0004,SR0004,Brake Pads,4427
P0005,SR0005,Oil Filter,2467
P0006,SR0006,Spark Plug,5036
P0007,SR0007,Coolant,329
P0008,SR0008,Air Filter,3348
P0009,SR0009,Engine Oil,4406
P0010,SR0010,Oil Filter,3362
P0011,SR0011,Air Filter,3862
P0012,SR0012,Oil Filter,3499
P0013,SR0013,Spark Plug,615
P0014,SR0014,Battery,1254
P0015,SR0015,Battery,1647
P0016,SR0016,Oil Filter,4259
P0017,SR0017,Wiper Blade,3532
P0018,SR0018,Brake Pads,5034
P0019,SR0019,Wiper Blade,4640
P0020,SR0020,Battery,4727
P0021,SR0021,Battery,3633
P0022,SR0022,Oil Filter,3083
P0023,SR0023,Brake Pads,655
P0024,SR0024,Battery,4446
P0025,SR0025,Brake Pads,3126
P0026,SR0026,Battery,2782
P0027,SR0027,Brake Pads,1679
P0028,SR0028,Air Filter,4959
P0029,SR0029,Engine Oil,746
P0030,SR0030,Oil Filter,4740
P0031,SR0031,Wiper Blade,1122
P0032,SR0032,Air Filter,3871
P0033,SR0033,Spark Plug,2672
P0034,SR0034,Coolant,3040
P0035,SR0035,Coolant,3013
P0036,SR0036,Brake Pads,5579
P0037,SR0037,Spark Plug,1020
P0038,SR0038,Spark Plug,2048
P0039,SR0039,Coolant,2056
P0040,SR0040,Brake Pads,1536
P0041,SR0041,Air Filter,1145
P0042,SR0042,Oil Filter,3540
P0043,SR0043,Engine Oil,907
P0044,SR0044,Engine Oil,872
P0045,SR0045,Battery,4385
P0046,SR0046,Brake Pads,4478
P0047,SR0047,Air Filter,627
P0048,SR0048,Battery,5943
P0049,SR0049,Air Filter,1261
P0050,SR0050,Oil Filter,859
P0051,SR0051,Spark Plug,4947
P0052,SR0052,Spark Plug,1389
P0053,SR0053,Spark Plug,5802
P0054,SR0054,Spark Plug,614
P0055,SR0055,Brake Pads,2933
P0056,SR0056,Wiper Blade,2404
P0057,SR0057,Oil Filter,5307
P0058,SR0058,Battery,1945
P0059,SR0059,Engine Oil,464
P0060,SR0060,Spark Plug,5750
P0061,SR0061,Engine Oil,3414
P0062,SR0062,Brake Pads,2208
P0063,SR0063,Battery,2240
P0064,SR0064,Engine Oil,2208
P0065,SR0065,Coolant,5215
P0066,SR0066,Brake Pads,4353
P0067,SR0067,Coolant,2414
P0068,SR0068,Coolant,5212
P0069,SR0069,Coolant,3466
P0070,SR0070,Battery,2395
P0071,SR0071,Wiper Blade,5990
P0072,SR0072,Coolant,5989
P0073,SR0073,Engine Oil,2833
P0074,SR0074,Air Filter,2512
P0075,SR0075,Spark Plug,1107
P0076,SR0076,Brake Pads,3104
P0077,SR0077,Battery,2326
P0078,SR0078,Wiper Blade,1784
P0079,SR0079,Brake Pads,5495
P0080,SR0080,Oil Filter,557
P0081,SR0081,Oil Filter,3187
P0082,SR0082,Battery,3788
P0083,SR0083,Spark Plug,5622
P0084,SR0084,Coolant,5845
P0085,SR0085,Battery,5600
P0086,SR0086,Coolant,3384
P0087,SR0087,Air Filter,3171
P0088,SR0088,Wiper Blade,2784
P0089,SR0089,Oil Filter,5090
P0090,SR0090,Oil Filter,5291
P0091,SR0091,Coolant,4653
P0092,SR0092,Oil Filter,4473
P0093,SR0093,Oil Filter,3342
P0094,SR0094,Oil Filter,1256
P0095,SR0095,Brake Pads,2207
P0096,SR0096,Spark Plug,3219
